"NAME","ABBR","POP2011","CAPITAL","VOTES","ID","STRICT","PHOTO","NOTES","REG_LINK","LAST_CHANGE_DATE","ID_DATE"
"Alabama","AL",4802740,"Montgomery",9,"X",,,,"http://www.costoffreedom.info/state/AL",,
"Alaska","AK",722718,"Juneau",3,"X",,,,"http://www.costoffreedom.info/state/AK",,
"Arizona","AZ",6482505,"Phoenix",11,"X","X",,,"http://www.costoffreedom.info/state/AZ",,
"Arkansas","AR",2937979,"Little Rock",6,"X",,,,"http://www.costoffreedom.info/state/AR",,
"California","CA",37691912,"Sacramento",55,,,,,"http://www.costoffreedom.info/state/CA",,
"Colorado","CO",5116796,"Denver",9,"X",,,,"http://www.costoffreedom.info/state/CO",,
"Connecticut","CT",3580709,"Hartford",7,"X",,,,"http://www.costoffreedom.info/state/CT",,
"Delaware","DE",907135,"Dover",3,"X",,,,"http://www.costoffreedom.info/state/DE",,
"District of Columbia","DC",617996,"null",3,,,,,"http://www.costoffreedom.info/state/DC",,
"Florida","FL",19057542,"Tallahassee",29,"X",,"X",,"http://www.costoffreedom.info/state/FL",,
"Georgia","GA",9815210,"Atlanta",16,"X","X","X",,"http://www.costoffreedom.info/state/GA",,
"Hawaii","HI",1374810,"Honolulu",4,"X",,"X",,"http://www.costoffreedom.info/state/HI",,
"Idaho","ID",1584985,"Boise",4,"X",,"X",,"http://www.costoffreedom.info/state/ID",,
"Illinois","IL",12869257,"Springfield",20,,,,,"http://www.costoffreedom.info/state/IL",,
"Indiana","IN",6516922,"Indianapolis",11,"X","X","X",,"http://www.costoffreedom.info/state/IN",,
"Iowa","IA",3062309,"Des Moines",6,,,,,"http://www.costoffreedom.info/state/IA",,
"Kansas","KS",2871238,"Topeka",6,"X","X","X",,"http://www.costoffreedom.info/state/KS",,
"Kentucky","KY",4369356,"Frankfort",8,"X",,,,"http://www.costoffreedom.info/state/KY",,
"Louisiana","LA",4574836,"Baton Rouge",8,"X",,"X",,"http://www.costoffreedom.info/state/LA",,
"Maine","ME",1328188,"Augusta",4,,,,,"http://www.costoffreedom.info/state/ME",,
"Maryland","MD",5828289,"Annapolis",10,,,,,"http://www.costoffreedom.info/state/MD",,
"Massachusetts","MA",6587536,"Boston",11,,,,,"http://www.costoffreedom.info/state/MA",,
"Michigan","MI",9876187,"Lansing",16,"X",,"X",,"http://www.costoffreedom.info/state/MI",,
"Minnesota","MN",5344861,"Saint Paul",10,,,,,"http://www.costoffreedom.info/state/MN",,
"Mississippi","MS",2978512,"Jackson",6,"X","X","X","NMR","http://www.costoffreedom.info/state/MS",,
"Missouri","MO",6010688,"Jefferson City",10,"X",,,,"http://www.costoffreedom.info/state/MO",,
"Montana","MT",998199,"Helena",3,"X",,,,"http://www.costoffreedom.info/state/MT",,
"Nebraska","NE",1842641,"Lincoln",5,,,,,"http://www.costoffreedom.info/state/NE",,
"Nevada","NV",2723322,"Carson City",6,,,,,"http://www.costoffreedom.info/state/NV",,
"New Hampshire","NH",1318194,"Concord",4,"X",,"X",,"http://www.costoffreedom.info/state/NH",,
"New Jersey","NJ",8821155,"Trenton",14,,,,,"http://www.costoffreedom.info/state/NJ",,
"New Mexico","NM",2082224,"Santa Fe",5,,,,,"http://www.costoffreedom.info/state/NM",,
"New York","NY",19465197,"Albany",29,,,,,"http://www.costoffreedom.info/state/NY",,
"North Carolina","NC",9656401,"Raleigh",15,"X",,,,"http://www.costoffreedom.info/state/NC",,
"North Dakota","ND",683932,"Bismarck",3,"X",,,,"http://www.costoffreedom.info/state/ND",,
"Ohio","OH",11544951,"Columbus",18,"X","X",,,"http://www.costoffreedom.info/state/OH",,
"Oklahoma","OK",3791508,"Oklahoma City",4,"X",,,"NMR","http://www.costoffreedom.info/state/OK",,
"Oregon","OR",3871859,"Salem",4,,,,,"http://www.costoffreedom.info/state/OR",,
"Pennsylvania","PA",12742886,"Harrisburg",20,"X","X","X",,"http://www.costoffreedom.info/state/PA",,
"Rhode Island","RI",1051302,"Providence",4,"X",,,,"http://www.costoffreedom.info/state/RI",,
"South Carolina","SC",4679230,"Columbia",9,"X","X",,"NMR","http://www.costoffreedom.info/state/SC",,
"South Dakota","SD",824082,"Pierre",3,"X",,"X",,"http://www.costoffreedom.info/state/SD",,
"Tennessee","TN",6403353,"Nashville",11,"X","X","X",,"http://www.costoffreedom.info/state/TN",,
"Texas","TX",25674681,"Austin",38,"X","X",,"NMR","http://www.costoffreedom.info/state/TX",,
"Utah","UT",2817222,"Salt Lake City",6,"X",,,,"http://www.costoffreedom.info/state/UT",,
"Vermont","VT",626431,"Montpelier",3,,,,,"http://www.costoffreedom.info/state/VT",,
"Virginia","VA",8096604,"Richmond",13,"X","X",,,"http://www.costoffreedom.info/state/VA",,
"Washington","WA",6830038,"Olympia",12,"X",,,,"http://www.costoffreedom.info/state/WA",,
"West Virginia","WV",1855364,"Charleston",5,,,,,"http://www.costoffreedom.info/state/WV",,
"Wisconsin","WI",5711767,"Madison",10,,,,"http://gab.wi.gov/elections-voting/photo-id","http://www.costoffreedom.info/state/WI",,
"Wyoming","WY",568158,"Cheyenne",3,,,,,"http://www.costoffreedom.info/state/WY",,
